ticker,date,period_ending,estimate,reported,surprise,surprise%
HHC,2021-08-04,Jun-21,-0.42,0.09,0.51,121.43
HI,2021-08-04,Jun-21,0.76,0.85,0.09,11.84
HIBB,2021-08-27,Jul-21,1.24,2.86,1.62,130.65
HIG,2021-07-28,Jun-21,1.33,2.33,1,75.19
HII,2021-08-05,Jun-21,2.49,3.2,0.71,28.51
HIW,2021-07-27,Jun-21,0.9,0.93,0.03,3.33
HL,2021-08-05,Jun-21,0.05,0.06,0.01,20
HLF,2021-08-03,Jun-21,1.26,1.52,0.26,20.63
HLI,2021-08-03,Jun-21,1.16,1.19,0.03,2.59
HLIO,2021-08-09,Jun-21,0.86,1.2,0.34,39.53
HLNE,2021-08-03,Jun-21,0.7,0.84,0.14,20
HLT,2021-07-29,Jun-21,0.34,0.56,0.22,64.71
HLX,2021-07-26,Jun-21,-0.09,-0.09,0,0
HMN,2021-08-02,Jun-21,0.99,1.02,0.03,3.03
HMST,2021-07-26,Jun-21,1.18,1.37,0.19,16.1
HNGR,2021-08-04,Jun-21,0.21,0.27,0.06,28.57
HOG,2021-07-21,Jun-21,1.15,1.33,0.18,15.65
HOLX,2021-07-28,Jun-21,1.11,1.33,0.22,19.82
HOMB,2021-07-15,Jun-21,0.46,0.46,0,0
HON,2021-07-23,Jun-21,1.94,2.02,0.08,4.12
HONE,2021-07-27,Jun-21,0.36,0.27,-0.09,-25
HOPE,2021-07-20,Jun-21,0.38,0.43,0.05,13.16
HP,2021-07-28,Jun-21,-0.57,-0.57,0,0
HPE,2021-09-02,Jul-21,0.42,0.47,0.05,11.9
HPP,2021-08-03,Jun-21,0.47,0.49,0.02,4.26
HPQ,2021-08-26,Jul-21,0.84,1,0.16,19.05
HQY,2021-09-08,Jul-21,0.36,0.4,0.04,11.11
HR,2021-08-04,Jun-21,0.43,0.43,0,0
HRI,2021-07-22,Jun-21,1.08,1.57,0.49,45.37
HRL,2021-09-02,Jul-21,0.38,0.39,0.01,2.63
HRMY,2021-08-10,Jun-21,0.19,0.54,0.35,184.21
HRTX,2021-08-09,Jun-21,-0.59,-0.62,-0.03,-5.08
HSC,2021-08-03,Jun-21,0.24,0.28,0.04,16.67
HSIC,2021-08-03,Jun-21,0.95,1.11,0.16,16.84
HSII,2021-07-26,Jun-21,0.83,1.14,0.31,37.35
HST,2021-08-03,Jun-21,0.04,0.12,0.08,200
HSTM,2021-07-26,Jun-21,-0.03,0.08,0.11,366.67
HSY,2021-07-29,Jun-21,1.42,1.47,0.05,3.52
HT,2021-07-27,Jun-21,-0.13,-0.04,0.09,69.23
HTA,2021-08-03,Jun-21,0.44,0.44,0,0
